34
TZ01,1,TV02,10,50000.0,500000.0
TZ02,2,TV02,100,50000.0,TC05,100,50000.0,1.0E7
TZ03,3,TV03,10,100000.0,TC03,100,80000.0,TC03,20,10000.0,9200000.0
TZ04,1,tc05,100,20000.0,2000000.0
JH48,1,TV05,38,34000.0,1292000.0
YU72,1,tc05,84,65000.0,5460000.0
PL91,1,TV04,120,33000.0,3960000.0
KI26,1,TC04,54,75000.0,4050000.0
TR67,1,tc05,187,89000.0,1.6643E7
WS38,1,TV03,95,48000.0,4560000.0
RT59,1,TV02,13,78000.0,1014000.0
LO84,1,TC06,161,46000.0,7416000.0
MN27,1,TC03,76,66000.0,5016000.0
VB09,1,TV04,44,27000.0,1188000.0
GF72,1,TV02,92,17000.0,1564000.0
HY43,1,TV05,106,80000.0,8480000.0
XC16,1,tc05,67,67000.0,4489000.0
ZQ50,1,TV03,183,95000.0,1.7385E7
BN38,1,TC04,29,43000.0,1247000.0
TR90,1,tc05,115,52000.0,5980000.0
PL12,1,TV04,51,53000.0,2703000.0
AS32,1,TV02,83,88000.0,7304000.0
QW76,1,TC06,190,41000.0,7790000.0
YU29,1,TC03,99,56000.0,5544000.0
RT84,1,TV05,37,29000.0,1073000.0
LO50,1,tc05,124,89000.0,1.1036E7
HY17,1,TV03,19,93000.0,1767000.0
XC89,1,TV02,76,68000.0,5168000.0
VB51,1,TC06,185,59000.0,1.0915E7
GF24,1,TC04,149,34000.0,5066000.0
ZQ97,1,tc05,57,40000.0,2280000.0
BN60,1,TV04,103,58000.0,5974000.0
TR13,1,TV02,23,18000.0,414000.0
PL76,1,TV05,84,95000.0,7980000.0
